First Name,Surname,Team,Pos,£Start,£End,Total Points,Points Per Game,Transfers In,Transfers Out,Season Value,Minutes,Goals,Assists,Clean Sheets,Goals Conceded,Own Goals,Penalties Saved,Penalties Missed,Yellow Cards,Red Cards,Saves,Bonus Points,BPS,Influence,Creativity,Threat,ICT Index,Influence Rank,Creativity Rank,Threat Rank,ICT Index Rank
David,McGoldrick,SHU,FWD,5.5,5.4,65,2.3,58707,59249,12,1810,2,2,7,18,0,0,0,2,0,0,6,201,303,268,584,115,238,156,62,118
Glenn,Murray,BHA,FWD,6,5.4,36,1.6,57591,231639,6.7,785,1,1,2,10,0,0,0,0,0,0,0,74,74,57,249,38,403,333,162,336
Philip,Heise,NOR,DEF,4,3.9,0,0,57433,69685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,491,459,513
Alexander,Tettey,NOR,MID,4.5,4.4,67,2.2,55603,51452,15.2,2339,1,1,5,44,0,0,0,5,0,0,3,404,358,117,173,65,204,261,222,250
Shane,Duffy,BHA,DEF,5,4.8,44,2.3,55574,182437,9.2,1232,1,0,3,18,0,0,0,2,0,0,1,227,288,30,100,42,251,380,283,329
Pierre-Emile,Højbjerg,SOT,MID,5,4.8,75,2.3,54962,86631,15.6,2750,0,3,7,51,0,0,0,5,0,0,1,412,493,469,368,133,138,65,105,90
Billy,Gilmour,CHE,MID,4.5,4.1,9,1.5,54932,37246,2.2,191,0,0,1,3,0,0,0,0,0,0,0,41,31,55,5,9,439,338,436,428
Tom,Trybull,NOR,MID,4.5,4.3,28,1.8,54725,82038,6.5,1128,0,0,2,25,0,0,0,2,0,0,0,172,198,55,92,35,314,337,292,347
Ørjan,Nyland,AVL,GKP,4.5,4.3,15,2.1,53781,44171,3.5,537,0,0,1,12,0,0,0,0,0,15,0,90,101,0,0,10,383,564,542,422
Dejan,Lovren,LIV,DEF,5.5,5.3,18,1.8,53506,66054,3.4,776,0,1,0,11,0,0,0,1,0,0,0,147,197,28,72,30,316,387,320,360
Andros,Townsend,CRY,MID,6,5.6,48,2,53131,225257,8.6,1284,1,1,3,23,0,0,0,0,0,0,0,221,246,247,122,62,277,167,258,266
Marc,Navarro,WAT,DEF,4,3.9,0,0,53044,45057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518,498,467,520
Fernando,Luiz Rosa,MCI,MID,5.5,5.1,55,1.8,52286,96862,10.8,2394,0,1,10,27,1,0,0,7,2,0,1,401,558,146,175,88,95,244,219,184
Carlos,Sánchez,WHU,MID,4.5,4.3,7,1.2,51377,54796,1.6,112,0,0,0,2,0,0,0,0,0,0,0,20,8,4,0,1,470,445,535,489
Adam,Masina,WAT,DEF,4.5,4.3,66,2.5,50760,34320,15.3,1815,1,0,6,31,0,0,0,3,0,0,4,281,351,201,109,66,211,198,268,246
Dan,Burn,BHA,DEF,4.5,4.5,86,2.5,50645,40985,19.1,2879,0,0,9,42,0,0,0,5,0,0,3,480,603,312,128,104,76,135,253,141
Stephen,Henderson,CRY,GKP,4,4,0,0,50365,28886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,526,507,476,528
Callum,Robinson,SHU,MID,5.5,4.9,33,2.1,49974,98126,6.7,669,1,2,2,6,0,0,0,1,0,0,1,73,80,73,156,30,397,308,232,356
James,McArthur,CRY,MID,5.5,5.2,92,2.5,49799,128082,17.7,3091,0,4,11,38,0,0,0,6,0,0,2,420,587,487,421,150,82,57,91,69
Will,Norris,WOL,GKP,4,3.9,0,0,49551,58275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513,493,461,515
Matthew,Longstaff,NEW,MID,4.5,4.5,27,3,49480,42719,6,572,2,0,1,11,0,0,0,1,0,0,2,104,103,52,49,20,382,345,349,393
Alfie,Whiteman,SPU,GKP,4,4,0,0,46715,27391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,531,513,482,533
Etienne,Capoue,WAT,MID,5,4.8,78,2.6,45067,84977,16.2,2627,0,4,8,48,0,0,0,8,0,0,7,394,483,314,102,90,141,134,277,176
